job_role,country,experience,workforce_distribution_percentage
Data Engineer,United States of America,10,8.029999732971191
Data Engineer,United States of America,15,3.240000009536743
Data Engineer,United States of America,1,1.1100000143051147
Data Engineer,United States of America,11,8.739999771118164
Data Engineer,United States of America,7,6.420000076293945
Data Engineer,United States of America,14,3.5299999713897705
Data Engineer,United States of America,8,6.150000095367432
Data Scientist,United States of America,3,5.039999961853027
Data Engineer,United States of America,6,6.380000114440918
Data Engineer,United States of America,20,12.420000076293945
Data Engineer,United States of America,9,6.96999979019165
Data Engineer,United States of America,13,4.329999923706055
Data Engineer,United States of America,2,1.9500000476837158
Data Scientist,United States of America,1,2.0199999809265137
Data Scientist,United States of America,18,1.909999966621399
Data Scientist,United States of America,5,6.519999980926514
Data Scientist,United States of America,17,2.1500000953674316
Data Scientist,United States of America,12,5.260000228881836
Data Scientist,United States of America,8,7.46999979019165
Data Scientist,United States of America,16,2.5999999046325684
Data Scientist,United States of America,15,3.140000104904175
Data Scientist,United States of America,10,7.110000133514404
Data Scientist,United States of America,9,7.599999904632568
Data Scientist,United States of America,7,7.860000133514404
Data Scientist,United States of America,2,3.2300000190734863
Data Scientist,United States of America,11,6.21999979019165
Data Scientist,United States of America,14,3.869999885559082
Data Scientist,United States of America,6,7.650000095367432
Data Scientist,United States of America,20,7.570000171661377
Data Scientist,United States of America,0,0.6000000238418579
Data Scientist,United States of America,19,1.5199999809265137
Data Scientist,United States of America,13,4.369999885559082
Data Scientist,United States of America,4,6.300000190734863
Data Engineer,United States of America,17,2.4100000858306885
Data Engineer,United States of America,12,6.53000020980835
Data Engineer,United States of America,19,2.130000114440918
Data Engineer,United States of America,5,5.940000057220459
Data Engineer,United States of America,16,2.4700000286102295
Data Engineer,United States of America,18,2.4800000190734863
Data Engineer,United States of America,3,3.440000057220459
Data Engineer,United States of America,0,0.3499999940395355
Data Engineer,United States of America,4,4.989999771118164
